family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
G,clean-path-tree,8,132,0,64,64,32,64,32,0,16,32,0,5290,254,285,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
H,non-clean-fallback,8,36,8,32,60,7,60,7,7,0,18,0,464,91,90,496,60,136,136,7,true,true,true,true,true,2160,0,60,0,0,0,0,0,0,20,0,0,0,18,0,18,0,0,36,0,0,8176,8176,8176,"{""polygon_arrangement"":0,""polygon_prepared_context"":8176}","{""polygon_arrangement"":769,""polygon_prepared_context"":8176}","{""polygon_arrangement"":769,""polygon_prepared_context"":8176}",verified,
A,boundary-heavy,16,68,0,32,16,0,16,1,0,0,32,0,1293,137,144,496,16,200,200,0,true,true,true,true,true,1088,0,16,0,0,0,0,0,0,34,0,0,0,32,0,32,0,0,306,0,0,16760,16760,16760,"{""polygon_arrangement"":0,""polygon_prepared_context"":16760}","{""polygon_arrangement"":2149,""polygon_prepared_context"":16760}","{""polygon_arrangement"":2149,""polygon_prepared_context"":16760}",verified,
B,aligned-reflex-heavy,16,260,0,128,2048,124,2048,124,0,62,4,0,5771,723,742,8128,2048,776,776,124,true,true,true,true,true,532480,0,2048,0,0,0,0,0,0,6,0,868,0,4,0,4,0,0,134,0,0,51432,51432,51432,"{""polygon_arrangement"":0,""polygon_prepared_context"":51432}","{""polygon_arrangement"":4321,""polygon_prepared_context"":51432}","{""polygon_arrangement"":4321,""polygon_prepared_context"":51432}",verified,
C,hole-heavy,16,68,16,64,1024,30,1024,30,30,0,4,0,559,162,150,2016,1024,264,264,30,true,true,true,true,true,69632,0,1024,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,38,0,0,14760,14760,14760,"{""polygon_arrangement"":0,""polygon_prepared_context"":14760}","{""polygon_arrangement"":637,""polygon_prepared_context"":14760}","{""polygon_arrangement"":637,""polygon_prepared_context"":14760}",verified,
D,completion-heavy,16,260,0,128,128,64,128,64,0,32,64,0,35977,705,728,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,674,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_prepared_context"":57720}","{""polygon_arrangement"":13861,""polygon_prepared_context"":57720}","{""polygon_arrangement"":13861,""polygon_prepared_context"":57720}",verified,
E,arrangement-heavy,16,132,0,64,32,0,32,1,0,0,64,0,9047,335,348,2016,32,392,392,0,true,true,true,true,true,4224,0,32,0,0,0,0,0,0,66,0,0,0,64,0,64,0,0,1122,0,0,34424,34424,34424,"{""polygon_arrangement"":0,""polygon_prepared_context"":34424}","{""polygon_arrangement"":7333,""polygon_prepared_context"":34424}","{""polygon_arrangement"":7333,""polygon_prepared_context"":34424}",verified,
F,huge-coordinate,16,132,0,64,64,32,64,32,0,16,32,0,5298,305,324,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
G,clean-path-tree,16,260,0,128,128,64,128,64,0,32,64,0,36290,955,699,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,674,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_prepared_context"":57720}","{""polygon_arrangement"":13861,""polygon_prepared_context"":57720}","{""polygon_arrangement"":13861,""polygon_prepared_context"":57720}",verified,
H,non-clean-fallback,16,68,16,64,124,15,124,15,15,0,34,0,2283,173,193,2016,124,264,264,15,true,true,true,true,true,8432,0,124,0,0,0,0,0,0,36,0,0,0,34,0,34,0,0,68,0,0,15536,15536,15536,"{""polygon_arrangement"":0,""polygon_prepared_context"":15536}","{""polygon_arrangement"":2257,""polygon_prepared_context"":15536}","{""polygon_arrangement"":2257,""polygon_prepared_context"":15536}",verified,
