K,K_over_M,M,aggregate_median_ratio,aggregate_median_ratio_ci95,algorithm,classification,dominant_phase,dominant_phase_median_ns,dominant_phase_share,elapsed_ns,excluded_target_sizes,explicit_algorithm,family,fit_target_sizes,fixed_process_cost_masked_kernel_difference,geometric_mean_ratio,independent_variable,median_ratio_ci95,ols_slope,ols_slope_ci95,p15_fresh_process_ratio,phase_medians_ns,q,r_squared,ratios,record_type,scope,scope_a_ratio,scope_b_ratio,sizes,stable_crossover_target_size,state,status,target_size,theil_sen_slope,valid_size_levels,warmup_converged,warmup_count
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.10681916841132669,""mad"":0.0,""max"":500.0,""median"":125.0,""min"":83.0,""n"":10000,""q1"":125.0,""q3"":125.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.039471630285217725,""mad"":1791.0,""max"":176125.0,""median"":114208.0,""min"":107084.0,""n"":3952,""q1"":112542.0,""q3"":116167.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.04310739985296765,""mad"":1791.0,""max"":175166.0,""median"":114084.0,""min"":106916.0,""n"":4228,""q1"":112500.0,""q3"":116083.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.04147941795086274,""mad"":1667.0,""max"":197916.0,""median"":113875.0,""min"":107000.0,""n"":4421,""q1"":112292.0,""q3"":115708.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.14390528239276984,""mad"":42.0,""max"":30666.0,""median"":3500.0,""min"":3291.0,""n"":10000,""q1"":3458.0,""q3"":3541.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":130,""component_count"":1,""compressed_network_arc_count"":31,""compressed_network_node_count"":33,""compressed_size_m"":64,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1089,""height"":33,""horizontal_chord_count_h"":31,""optimum_rectangle_count"":33,""q"":31,""reflex_count"":63,""vertical_chord_count_v"":0,""width"":65}",,complete,,1024,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.22703968889852905,""mad"":41.0,""max"":42625.0,""median"":2125.0,""min"":2000.0,""n"":10000,""q1"":2125.0,""q3"":2167.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":130,""component_count"":1,""compressed_network_arc_count"":31,""compressed_network_node_count"":33,""compressed_size_m"":64,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1089,""height"":33,""horizontal_chord_count_h"":31,""optimum_rectangle_count"":33,""q"":31,""reflex_count"":63,""vertical_chord_count_v"":0,""width"":65}",,complete,,1024,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.5651975236206791,""mad"":1.0,""max"":30875.0,""median"":583.0,""min"":500.0,""n"":10000,""q1"":583.0,""q3"":584.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":130,""component_count"":1,""compressed_network_arc_count"":31,""compressed_network_node_count"":33,""compressed_size_m"":64,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1089,""height"":33,""horizontal_chord_count_h"":31,""optimum_rectangle_count"":33,""q"":31,""reflex_count"":63,""vertical_chord_count_v"":0,""width"":65}",,complete,,1024,,,True,9
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.019923823912199552,""mad"":5750.5,""max"":924167.0,""median"":785541.5,""min"":768334.0,""n"":598,""q1"":780625.0,""q3"":794218.75}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":130,""component_count"":1,""compressed_network_arc_count"":31,""compressed_network_node_count"":33,""compressed_size_m"":64,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1089,""height"":33,""horizontal_chord_count_h"":31,""optimum_rectangle_count"":33,""q"":31,""reflex_count"":63,""vertical_chord_count_v"":0,""width"":65}",,complete,,1024,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.021910715297610576,""mad"":5979.0,""max"":954750.0,""median"":784437.5,""min"":767541.0,""n"":606,""q1"":779572.25,""q3"":792323.25}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":130,""component_count"":1,""compressed_network_arc_count"":31,""compressed_network_node_count"":33,""compressed_size_m"":64,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1089,""height"":33,""horizontal_chord_count_h"":31,""optimum_rectangle_count"":33,""q"":31,""reflex_count"":63,""vertical_chord_count_v"":0,""width"":65}",,complete,,1024,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.020452669112625277,""mad"":6458.0,""max"":931041.0,""median"":783292.0,""min"":765250.0,""n"":603,""q1"":777917.0,""q3"":792521.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":130,""component_count"":1,""compressed_network_arc_count"":31,""compressed_network_node_count"":33,""compressed_size_m"":64,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1089,""height"":33,""horizontal_chord_count_h"":31,""optimum_rectangle_count"":33,""q"":31,""reflex_count"":63,""vertical_chord_count_v"":0,""width"":65}",,complete,,1024,,,True,5
