K,K_over_M,M,aggregate_median_ratio,aggregate_median_ratio_ci95,algorithm,classification,dominant_phase,dominant_phase_median_ns,dominant_phase_share,elapsed_ns,excluded_target_sizes,explicit_algorithm,family,fit_target_sizes,fixed_process_cost_masked_kernel_difference,geometric_mean_ratio,independent_variable,median_ratio_ci95,ols_slope,ols_slope_ci95,p15_fresh_process_ratio,phase_medians_ns,q,r_squared,ratios,record_type,scope,scope_a_ratio,scope_b_ratio,sizes,stable_crossover_target_size,state,status,target_size,theil_sen_slope,valid_size_levels,warmup_converged,warmup_count
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,1.000371056578331,,"[0.998183891650784,1.0043093777388257]",,,,,32,,"{""coefficient_of_variation"":0.02802465034355905,""mad"":0.017337683813303917,""max"":1.0850966233485635,""median"":1.0013378899395244,""min"":0.90656315995307,""n"":405,""q1"":0.9831944573713662,""q3"":1.0177814838571735}",paired_comparisons,solve-from-canonical-instance,,,,,,,64,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.9261980872253062,,"[0.9238242527545957,0.9288898665881891]",,,,,32,,"{""coefficient_of_variation"":0.023835383229926357,""mad"":0.012885025203649925,""max"":0.9894868217958003,""median"":0.9267529756298829,""min"":0.8137065719360569,""n"":382,""q1"":0.9142437048629866,""q3"":0.9396757885399446}",paired_comparisons,solve-from-canonical-instance,,,,,,,64,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,2.1970813730214824,,"[2.195310344827586,2.195586206896552]",,,,,32,,"{""coefficient_of_variation"":0.09164715450214221,""mad"":0.03054042894435982,""max"":13.182967741935483,""median"":2.195310344827586,""min"":0.22694187111880282,""n"":10000,""q1"":2.1666666666666665,""q3"":2.227699530516432}",paired_comparisons,representation-and-solver-kernel,,,,,,,64,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.08431642476187755,,"[0.08399027132406522,0.08418274111675127]",,,,,32,,"{""coefficient_of_variation"":0.12321739991069522,""mad"":0.0014833207182362723,""max"":0.48478291814946617,""median"":0.08408729197461592,""min"":0.03200768122899664,""n"":4860,""q1"":0.08262191020146253,""q3"":0.08559513649661424}",paired_comparisons,representation-and-solver-kernel,,,,,,,64,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,1.0008232374369073,,"[0.9953646555127584,1.0023522182824554]",,,,,48,,"{""coefficient_of_variation"":0.02879048144476136,""mad"":0.015786191774452563,""max"":1.220658482217816,""median"":1.000121994403247,""min"":0.9325048858703758,""n"":204,""q1"":0.9851495880235768,""q3"":1.0170357290222793}",paired_comparisons,solve-from-canonical-instance,,,,,,,128,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.9153087101299626,,"[0.9103966343801976,0.9184857936284705]",,,,,48,,"{""coefficient_of_variation"":0.033334263309721515,""mad"":0.014266846552496049,""max"":1.1828314200488113,""median"":0.9136269530910048,""min"":0.8482697699990837,""n"":192,""q1"":0.9022975731569263,""q3"":0.9287209084165632}",paired_comparisons,solve-from-canonical-instance,,,,,,,128,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,1.3523010762555756,,"[1.341294565593631,1.3429565217391304]",,,,,48,,"{""coefficient_of_variation"":0.10531333838697117,""mad"":0.017563627971382445,""max"":6.76,""median"":1.3414493422570968,""min"":0.2969306729105161,""n"":10000,""q1"":1.3270108886547243,""q3"":1.364091809390656}",paired_comparisons,representation-and-solver-kernel,,,,,,,128,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.054841237574474885,,"[0.05409638116681496,0.05421088660504209]",,,,,48,,"{""coefficient_of_variation"":0.14014724435119316,""mad"":0.0008939166816254868,""max"":0.23502929336568862,""median"":0.0541458248037453,""min"":0.027290289288092833,""n"":2107,""q1"":0.0532875523855995,""q3"":0.05507833047455689}",paired_comparisons,representation-and-solver-kernel,,,,,,,128,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.9956790290494063,,"[0.9907069609162027,1.0001464669510476]",,,,,64,,"{""coefficient_of_variation"":0.01916046786761081,""mad"":0.011058759600716561,""max"":1.0536873563947629,""median"":0.9940756612885853,""min"":0.9148784239875302,""n"":128,""q1"":0.9843761776128965,""q3"":1.0086556795992405}",paired_comparisons,solve-from-canonical-instance,,,,,,,256,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.9018526865266231,,"[0.8980560386491837,0.9052726180463775]",,,,,64,,"{""coefficient_of_variation"":0.015310041621690423,""mad"":0.00915389963430735,""max"":0.93695731853743,""median"":0.9021958285748632,""min"":0.8691863864105767,""n"":119,""q1"":0.8923432576626947,""q3"":0.9106138313724932}",paired_comparisons,solve-from-canonical-instance,,,,,,,256,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.9351575514145861,,"[0.9303126724701154,0.9320464327637928]",,,,,64,,"{""coefficient_of_variation"":0.05837221730977968,""mad"":0.008399774888486089,""max"":3.204290807231984,""median"":0.93185979597175,""min"":0.3443454306404825,""n"":10000,""q1"":0.9236755204756278,""q3"":0.940259570860236}",paired_comparisons,representation-and-solver-kernel,,,,,,,256,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.036994037279191476,,"[0.03651820895522388,0.03664072947150138]",,,,,64,,"{""coefficient_of_variation"":0.06624715635390604,""mad"":0.0005626048005653167,""max"":0.0614429528627896,""median"":0.03657030971189367,""min"":0.03062792209674547,""n"":1155,""q1"":0.03606433999662313,""q3"":0.03717961237314786}",paired_comparisons,representation-and-solver-kernel,,,,,,,256,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.9992154046305303,,"[0.995536604436553,1.0038824011153438]",,,,,92,,"{""coefficient_of_variation"":0.015381053929818997,""mad"":0.009407573904375632,""max"":1.0364124078834618,""median"":0.9988207468097087,""min"":0.9553613300370007,""n"":66,""q1"":0.9923318721924235,""q3"":1.0087802432918043}",paired_comparisons,solve-from-canonical-instance,,,,,,,512,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.8987332903132795,,"[0.8941708098074097,0.9025457888099786]",,,,,92,,"{""coefficient_of_variation"":0.01705260461977519,""mad"":0.00826784550324322,""max"":0.9547823041474655,""median"":0.8987385269858759,""min"":0.8490541365181763,""n"":61,""q1"":0.8899955010725186,""q3"":0.9054430403140992}",paired_comparisons,solve-from-canonical-instance,,,,,,,512,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.5664694939634197,,"[0.563933694256851,0.5644268330382486]",,,,,92,,"{""coefficient_of_variation"":0.07043231952837095,""mad"":0.006790393702843067,""max"":1.9141152542372881,""median"":0.5641473836080129,""min"":0.23310344827586207,""n"":10000,""q1"":0.5581447269276923,""q3"":0.5722694571615435}",paired_comparisons,representation-and-solver-kernel,,,,,,,512,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.025432985491192422,,"[0.024798686374190453,0.02493885579356026]",,,,,92,,"{""coefficient_of_variation"":0.11194774537932461,""mad"":0.00044390676779547736,""max"":0.06958250973345313,""median"":0.02485652097351313,""min"":0.022638458428783183,""n"":583,""q1"":0.02444663074057312,""q3"":0.025367617192086734}",paired_comparisons,representation-and-solver-kernel,,,,,,,512,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.9917777372794105,,"[0.9863896560040142,0.9938753089810491]",,,,,128,,"{""coefficient_of_variation"":0.011583422414409026,""mad"":0.00550704441923755,""max"":1.0226312070476453,""median"":0.9908506666033028,""min"":0.9704616363297537,""n"":36,""q1"":0.9853158483843967,""q3"":0.9962870926098752}",paired_comparisons,solve-from-canonical-instance,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.8902796054891945,,"[0.8872266536650352,0.891719899419426]",,,,,128,,"{""coefficient_of_variation"":0.008205180410965948,""mad"":0.005615131263192463,""max"":0.9085308905467245,""median"":0.8886936759408051,""min"":0.8770250146189331,""n"":32,""q1"":0.8843521885255392,""q3"":0.895863055307556}",paired_comparisons,solve-from-canonical-instance,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.3464059355021089,,"[0.3452905579895417,0.3455782747603834]",,,,,128,,"{""coefficient_of_variation"":0.06009406375660801,""mad"":0.0028272685916721774,""max"":0.8754459837356562,""median"":0.34542938417775043,""min"":0.1890263880837765,""n"":5976,""q1"":0.3425797858716254,""q3"":0.3481707031990599}",paired_comparisons,representation-and-solver-kernel,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.01761279278505311,,"[0.017088212081201835,0.01725447472211274]",,,,,128,,"{""coefficient_of_variation"":0.09822949909367476,""mad"":0.0003713984841902645,""max"":0.0352246223211564,""median"":0.017165405814327503,""min"":0.016010156121024424,""n"":288,""q1"":0.01688216353256026,""q3"":0.01767301783344146}",paired_comparisons,representation-and-solver-kernel,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.9958492814195438,,"[0.992018372211186,0.9993314776673055]",,,,,184,,"{""coefficient_of_variation"":0.008140387534801353,""mad"":0.004675221829812337,""max"":1.0198043703076243,""median"":0.9943944725708058,""min"":0.9839865128361437,""n"":18,""q1"":0.9915319295425904,""q3"":0.9993878364412778}",paired_comparisons,solve-from-canonical-instance,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.8847789112836465,,"[0.8816855143866023,0.8881114327414148]",,,,,184,,"{""coefficient_of_variation"":0.0070786286822475605,""mad"":0.0037603680079693613,""max"":0.8989601620797938,""median"":0.8848866768963464,""min"":0.8720716209516827,""n"":16,""q1"":0.8814059116374896,""q3"":0.8882206891696853}",paired_comparisons,solve-from-canonical-instance,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.1910554384991688,,"[0.1894766400268273,0.18985044845750493]",,,,,184,,"{""coefficient_of_variation"":0.064942429577854,""mad"":0.0028502490660024943,""max"":0.5016485148514851,""median"":0.18965108028146732,""min"":0.12887127600545284,""n"":2344,""q1"":0.18725238193954225,""q3"":0.19302440828255157}",paired_comparisons,representation-and-solver-kernel,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.011739437462375393,,"[0.011490020313527805,0.011683386646702511]",,,,,184,,"{""coefficient_of_variation"":0.07405428422094337,""mad"":0.00044920237420804747,""max"":0.015504504738037281,""median"":0.011570615309488002,""min"":0.010535798728479605,""n"":137,""q1"":0.011161838027220051,""q3"":0.012102907076784162}",paired_comparisons,representation-and-solver-kernel,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,1.0251253322131215,,"[0.9564173042070524,0.9991864419594232]",,,,,256,,"{""coefficient_of_variation"":0.19631681931141362,""mad"":0.027067579656646634,""max"":1.6188370636864309,""median"":0.9847609693100616,""min"":0.8442223396915988,""n"":15,""q1"":0.9647527498532688,""q3"":1.0055074954630658}",paired_comparisons,solve-from-canonical-instance,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.9118098496834746,,"[0.8678153341811067,0.8889513081944249]",,,,,256,,"{""coefficient_of_variation"":0.20207041916570898,""mad"":0.015157114541581973,""max"":1.4209257375229722,""median"":0.8737941936528429,""min"":0.6608998188497002,""n"":15,""q1"":0.8698515303551713,""q3"":0.8930242821060246}",paired_comparisons,solve-from-canonical-instance,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.10028659670062547,,"[0.0988781629305884,0.09915369685218148]",,,,,256,,"{""coefficient_of_variation"":0.07845886679875395,""mad"":0.0010597844337741427,""max"":0.19745822546481526,""median"":0.09900839891187102,""min"":0.08015488867376573,""n"":936,""q1"":0.09795990977035976,""q3"":0.10012436492967394}",paired_comparisons,representation-and-solver-kernel,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.008552926800885418,,"[0.008279043224126276,0.008906806136573525]",,,,,256,,"{""coefficient_of_variation"":0.11071197816273522,""mad"":0.0006304869082288025,""max"":0.01045521158020138,""median"":0.0085941119758095,""min"":0.006818987223261516,""n"":68,""q1"":0.008017549590143428,""q3"":0.009274713891239926}",paired_comparisons,representation-and-solver-kernel,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.9780830117938077,,"[0.9750007213538372,0.981302313955925]",,,,,364,,"{""coefficient_of_variation"":0.0033215215143249815,""mad"":0.003019240481178631,""max"":0.9822972136644019,""median"":0.9780199618350158,""min"":0.9725054640206827,""n"":7,""q1"":0.9761436943906725,""q3"":0.9807544262235947}",paired_comparisons,solve-from-canonical-instance,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.8718846737780539,,"[0.8666727589130101,0.8788684392723382]",,,,,364,,"{""coefficient_of_variation"":0.006958215066598063,""mad"":0.004646156910719346,""max"":0.8790129364847777,""median"":0.8711407968105287,""min"":0.8612286545221919,""n"":7,""q1"":0.8686514797986975,""q3"":0.8773276964967931}",paired_comparisons,solve-from-canonical-instance,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,representation-crossover,,,0.053210676842018474,,"[0.05209562705477546,0.052396280400572245]",,,,,364,,"{""coefficient_of_variation"":0.06849447086434883,""mad"":0.0007208130449714092,""max"":0.08198153835644123,""median"":0.052248855373013735,""min"":0.04726243764407421,""n"":329,""q1"":0.05164390515995111,""q3"":0.053239320957986884}",paired_comparisons,representation-and-solver-kernel,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-c0-flow,representation-crossover,,,0.005739304945966733,,"[0.0055970279624292605,0.005927940898261178]",,,,,364,,"{""coefficient_of_variation"":0.05511181361703173,""mad"":0.00021677678972878856,""max"":0.006260946136125984,""median"":0.005768168826692483,""min"":0.004847034266339012,""n"":31,""q1"":0.005540003727393542,""q3"":0.005977621742591364}",paired_comparisons,representation-and-solver-kernel,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.02476630370871,,"[1.0232801638219442,1.0254252598531413]",,,,,62,,"{""coefficient_of_variation"":0.03434551854876187,""mad"":0.012006045460488224,""max"":1.3495963020030817,""median"":1.024375189107413,""min"":0.8158585514698162,""n"":1781,""q1"":1.0124725796224752,""q3"":1.0364230576441102}",paired_comparisons,solve-from-canonical-instance,,,,,,,64,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0141913672807592,,"[1.0126791763757481,1.014585388360327]",,,,,62,,"{""coefficient_of_variation"":0.03407132024411233,""mad"":0.01221940399119803,""max"":1.310121735245784,""median"":1.013539129140655,""min"":0.7874078780969468,""n"":1781,""q1"":1.0021734335839598,""q3"":1.0271273090364452}",paired_comparisons,solve-from-canonical-instance,,,,,,,64,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,7.893261448547643,,"[7.857142857142857,7.857142857142857]",,,,,62,,"{""coefficient_of_variation"":0.0847748853946001,""mad"":0.23638232271325865,""max"":41.089566020313946,""median"":7.857142857142857,""min"":0.7709992149826175,""n"":10000,""q1"":7.714285714285714,""q3"":8.103241296518608}",paired_comparisons,representation-and-solver-kernel,,,,,,,64,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.0039649058205615,,"[2.0,2.0]",,,,,62,,"{""coefficient_of_variation"":0.09161377213379993,""mad"":0.0245925925925925,""max"":12.275862068965518,""median"":2.0,""min"":0.46956521739130436,""n"":10000,""q1"":1.9754170324846356,""q3"":2.0245950809838034}",paired_comparisons,representation-and-solver-kernel,,,,,,,64,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0242002596003938,,"[1.0210880346837494,1.0243876551860693]",,,,,126,,"{""coefficient_of_variation"":0.030759903987535094,""mad"":0.011667192674426174,""max"":1.387256551487995,""median"":1.0224186707876641,""min"":0.8558259767687434,""n"":892,""q1"":1.012205958392986,""q3"":1.0363722554411003}",paired_comparisons,solve-from-canonical-instance,,,,,,,128,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0139933014772449,,"[1.0112860208142005,1.0141274970331677]",,,,,126,,"{""coefficient_of_variation"":0.027949004928701112,""mad"":0.010654637429331815,""max"":1.3911356684755796,""median"":1.0127310976820738,""min"":0.8319755401549124,""n"":892,""q1"":1.0024067313082277,""q3"":1.0235974522143887}",paired_comparisons,solve-from-canonical-instance,,,,,,,128,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,8.824737496856342,,"[8.79181369089626,8.818181818181818]",,,,,126,,"{""coefficient_of_variation"":0.07609811184307395,""mad"":0.15299789879948555,""max"":37.13832039520113,""median"":8.798022598870057,""min"":0.9405085667663856,""n"":10000,""q1"":8.645024700070572,""q3"":8.969454545454546}",paired_comparisons,representation-and-solver-kernel,,,,,,,128,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.124225233479728,,"[2.114520829761701,2.114986187845304]",,,,,126,,"{""coefficient_of_variation"":0.06515631400316806,""mad"":0.016270839637055,""max"":8.363795295613478,""median"":2.114986187845304,""min"":0.270208,""n"":10000,""q1"":2.098360655737705,""q3"":2.130434782608696}",paired_comparisons,representation-and-solver-kernel,,,,,,,128,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0219882591626817,,"[1.020932794711715,1.0244194613934514]",,,,,254,,"{""coefficient_of_variation"":0.0223333643416068,""mad"":0.008903580776317366,""max"":1.1425406911421585,""median"":1.0228412852969815,""min"":0.9303825539763481,""n"":449,""q1"":1.0137777777777779,""q3"":1.0314746030861899}",paired_comparisons,solve-from-canonical-instance,,,,,,,256,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0142178870228933,,"[1.0123060273011746,1.0151053864168618]",,,,,254,,"{""coefficient_of_variation"":0.019522129637007533,""mad"":0.009071899053524568,""max"":1.126243818063623,""median"":1.0134775301424919,""min"":0.9436936305392564,""n"":449,""q1"":1.0042779701179176,""q3"":1.0225350110186961}",paired_comparisons,solve-from-canonical-instance,,,,,,,256,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,10.157476572252252,,"[9.961439588688947,9.965709387055293]",,,,,254,,"{""coefficient_of_variation"":0.08143624598240048,""mad"":0.19349886073950273,""max"":28.991859468723224,""median"":9.965709387055293,""min"":3.249034070951879,""n"":10000,""q1"":9.789473684210526,""q3"":10.216404886561955}",paired_comparisons,representation-and-solver-kernel,,,,,,,256,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.2406241336539434,,"[2.187320711417097,2.1882352941176473]",,,,,254,,"{""coefficient_of_variation"":0.0810364058834161,""mad"":0.023485842865178963,""max"":8.56680051104216,""median"":2.1876523532720795,""min"":0.41846091834335425,""n"":10000,""q1"":2.168658823529412,""q3"":2.223178427997705}",paired_comparisons,representation-and-solver-kernel,,,,,,,256,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0190186446928697,,"[1.0175510925260616,1.0223565992388395]",,,,,510,,"{""coefficient_of_variation"":0.019097679561720357,""mad"":0.009131789210598651,""max"":1.0759024277188713,""median"":1.0200598275558683,""min"":0.9556302754351177,""n"":223,""q1"":1.0103492503721125,""q3"":1.0285427865168195}",paired_comparisons,solve-from-canonical-instance,,,,,,,512,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0119862008452327,,"[1.010901724787317,1.0145618157453686]",,,,,510,,"{""coefficient_of_variation"":0.01867708687058812,""mad"":0.009151412103261647,""max"":1.0651515609557585,""median"":1.0125854214123007,""min"":0.9409859982239276,""n"":223,""q1"":1.002028487529754,""q3"":1.0210258309534863}",paired_comparisons,solve-from-canonical-instance,,,,,,,512,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,11.328652497115629,,"[10.971245247148289,10.990969581749049]",,,,,510,,"{""coefficient_of_variation"":0.07892725949720082,""mad"":0.2538217711614852,""max"":23.41981234998909,""median"":10.980988593155894,""min"":2.022469585367872,""n"":8565,""q1"":10.823529411764707,""q3"":11.725446975263287}",paired_comparisons,representation-and-solver-kernel,,,,,,,512,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.30415925079636,,"[2.2314564419548,2.2343757575757577]",,,,,510,,"{""coefficient_of_variation"":0.07757535285985195,""mad"":0.03573619974748787,""max"":4.76146748292077,""median"":2.2326557877660083,""min"":0.7597279341980386,""n"":8565,""q1"":2.207257601835915,""q3"":2.3779399059230104}",paired_comparisons,representation-and-solver-kernel,,,,,,,512,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0170803607407484,,"[1.0134036614382735,1.01939219025976]",,,,,1022,,"{""coefficient_of_variation"":0.021567475566671646,""mad"":0.010861896939614368,""max"":1.148328006459459,""median"":1.0159846801914885,""min"":0.9833814444292175,""n"":109,""q1"":1.005122783251874,""q3"":1.0267953408588728}",paired_comparisons,solve-from-canonical-instance,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0119792047282787,,"[1.0043223103057757,1.013958189913166]",,,,,1022,,"{""coefficient_of_variation"":0.021293589587226294,""mad"":0.01278911084490042,""max"":1.140098176797137,""median"":1.0102454177023228,""min"":0.9666851455874977,""n"":109,""q1"":0.9984856982613572,""q3"":1.0234397010062775}",paired_comparisons,solve-from-canonical-instance,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,12.870626035546609,,"[13.138475359342916,13.234648282905656]",,,,,1022,,"{""coefficient_of_variation"":0.08012304979258365,""mad"":0.7294997133639356,""max"":20.304,""median"":13.188129032258065,""min"":1.632936507936508,""n"":4403,""q1"":11.8906497320365,""q3"":13.74547057344903}",paired_comparisons,representation-and-solver-kernel,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.489526067460595,,"[2.5464827586206895,2.5628930817610063]",,,,,1022,,"{""coefficient_of_variation"":0.07885777166166558,""mad"":0.1376395070123908,""max"":3.9169624659353746,""median"":2.553797241412282,""min"":0.9285000249912531,""n"":4403,""q1"":2.29361713836478,""q3"":2.6611010375742925}",paired_comparisons,representation-and-solver-kernel,,,,,,,1024,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0212632630613363,,"[1.0143312543312544,1.025398371627159]",,,,,2046,,"{""coefficient_of_variation"":0.012256117652619615,""mad"":0.008900718481451575,""max"":1.0550774011514428,""median"":1.0198854377859008,""min"":0.9958043718842078,""n"":53,""q1"":1.0109847193044492,""q3"":1.0285902964218794}",paired_comparisons,solve-from-canonical-instance,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0138003502956694,,"[1.0146165954576118,1.019980117491174]",,,,,2046,,"{""coefficient_of_variation"":0.022604307789147283,""mad"":0.007135365713842656,""max"":1.054134263440935,""median"":1.0174680740075395,""min"":0.9001532664430764,""n"":53,""q1"":1.00947583601822,""q3"":1.0222060631677736}",paired_comparisons,solve-from-canonical-instance,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,13.960678857526277,,"[14.171826725169526,14.207744055361157]",,,,,2046,,"{""coefficient_of_variation"":0.05787046085069679,""mad"":0.2237571952461348,""max"":20.460747967479676,""median"":14.190304196974628,""min"":3.2744406941664925,""n"":2578,""q1"":13.840185943824363,""q3"":14.362195849632036}",paired_comparisons,representation-and-solver-kernel,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.7024391689300313,,"[2.7395014682606806,2.7455439039090317]",,,,,2046,,"{""coefficient_of_variation"":0.05148748542322651,""mad"":0.04209515584726775,""max"":3.619271899007837,""median"":2.74249507708255,""min"":1.6245247148288973,""n"":2578,""q1"":2.6727571990188035,""q3"":2.775326789432015}",paired_comparisons,representation-and-solver-kernel,,,,,,,2048,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0186555681674054,,"[1.0139749885945843,1.0212537369483432]",,,,,4094,,"{""coefficient_of_variation"":0.00938503678470528,""mad"":0.0050200434218726775,""max"":1.0427275960448519,""median"":1.016258980394709,""min"":0.9987194285375385,""n"":24,""q1"":1.0135427233026464,""q3"":1.0228730556339765}",paired_comparisons,solve-from-canonical-instance,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.0153795841880744,,"[1.0087050740167023,1.0208316005350397]",,,,,4094,,"{""coefficient_of_variation"":0.010543170982238075,""mad"":0.0074937701065463935,""max"":1.0379833469650448,""median"":1.0142901371877127,""min"":0.9920112506592184,""n"":24,""q1"":1.007218463694461,""q3"":1.0216762948195308}",paired_comparisons,solve-from-canonical-instance,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,14.216050793642315,,"[14.333950806863164,14.371504956870869]",,,,,4094,,"{""coefficient_of_variation"":0.04768982598316992,""mad"":0.1686404720199226,""max"":17.510828976848394,""median"":14.352688499802472,""min"":9.287554836236637,""n"":1146,""q1"":14.139946803225358,""q3"":14.495339244042208}",paired_comparisons,representation-and-solver-kernel,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.795949973013448,,"[2.805114685057502,2.811166127377121]",,,,,4094,,"{""coefficient_of_variation"":0.03570216291082069,""mad"":0.028712200785615982,""max"":3.388072249589491,""median"":2.808158294748894,""min"":1.77187339922575,""n"":1146,""q1"":2.7727616734951646,""q3"":2.8344315548578227}",paired_comparisons,representation-and-solver-kernel,,,,,,,4096,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,1.0174350283544744,,"[1.0073954136668848,1.0261827766398888]",,,,,8190,,"{""coefficient_of_variation"":0.015249610728032574,""mad"":0.006913498705064525,""max"":1.0570775731499265,""median"":1.0138409374770407,""min"":0.9895849145323777,""n"":15,""q1"":1.0076389263627412,""q3"":1.024574787412977}",paired_comparisons,solve-from-canonical-instance,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,1.00880910954165,,"[0.99310480955359,1.0186164769272594]",,,,,8190,,"{""coefficient_of_variation"":0.017882208504655748,""mad"":0.008412160721067874,""max"":1.0397559253536195,""median"":1.0102043162061916,""min"":0.9708273921088737,""n"":15,""q1"":0.9975610506608348,""q3"":1.018543392915185}",paired_comparisons,solve-from-canonical-instance,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-hopcroft-karp,sparse-conflict,,,14.617016371523116,,"[14.75390563770312,14.79236114739537]",,,,,8190,,"{""coefficient_of_variation"":0.04421465317055887,""mad"":0.191631476459019,""max"":16.64482096069869,""median"":14.768981215007065,""min"":9.101017069626936,""n"":583,""q1"":14.520369305280017,""q3"":14.935886564138954}",paired_comparisons,representation-and-solver-kernel,,,,,,,8192,,,,
,,,,,,,,,,,,explicit-c0-flow,sparse-conflict,,,2.8274074181298117,,"[2.8334530370052153,2.8410231866984392]",,,,,8190,,"{""coefficient_of_variation"":0.031624355548151066,""mad"":0.034469501283781234,""max"":3.242295798319328,""median"":2.8374183417717695,""min"":2.297097719869707,""n"":583,""q1"":2.795358815438006,""q3"":2.8667918431718826}",paired_comparisons,representation-and-solver-kernel,,,,,,,8192,,,,
