family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
G,aligned-reflex-heavy,4,68,0,32,128,28,128,28,0,14,4,0,12,12,144,72,180,36,19,1729,13248,1904,44,71,5,409,229,222,496,128,200,200,28,true,true,true,true,true,8704,0,128,0,0,0,0,0,0,6,0,196,0,4,0,4,0,0,0,0,0,13576,13576,13576,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":13576,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1904,""polygon_prepared_context"":13576,""polygon_sparse_subdivision"":13248}","{""polygon_arrangement"":0,""polygon_cut_index"":1904,""polygon_prepared_context"":13576,""polygon_sparse_subdivision"":13248}",verified,
H,huge-coordinate,4,68,0,32,32,16,32,16,0,8,16,0,18,18,324,84,216,48,25,3781,15840,2608,70,79,8,859,234,223,496,32,200,200,16,true,true,true,true,true,2176,0,32,0,0,0,0,0,0,18,0,1216,0,16,0,16,0,0,0,0,0,14328,14328,14328,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":2608,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":15840}","{""polygon_arrangement"":0,""polygon_cut_index"":2608,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":15840}",verified,
A,staircase-sparse,8,36,0,16,8,0,8,1,0,0,16,0,18,10,180,52,136,32,17,2149,9952,1720,44,45,6,267,124,113,120,8,104,104,0,true,true,true,true,true,288,0,8,0,0,0,0,0,0,18,0,0,0,16,0,16,0,0,0,0,0,8376,8376,8376,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":8376,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1720,""polygon_prepared_context"":8376,""polygon_sparse_subdivision"":9952}","{""polygon_arrangement"":0,""polygon_cut_index"":1720,""polygon_prepared_context"":8376,""polygon_sparse_subdivision"":9952}",verified,
B,many-coordinates-few-faces,8,68,0,32,16,0,16,1,0,0,32,0,34,18,612,100,264,64,33,7045,19296,3480,100,101,13,1297,265,247,496,16,200,200,0,true,true,true,true,true,1088,0,16,0,0,0,0,0,0,34,0,0,0,32,0,32,0,0,0,0,0,16760,16760,16760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":3480,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":19296}","{""polygon_arrangement"":0,""polygon_cut_index"":3480,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":19296}",verified,
C,hole-coordinate-cross-product,8,36,8,32,256,14,256,14,14,0,4,0,18,4,72,40,116,36,11,925,8384,1560,23,39,5,181,129,112,496,256,136,136,14,true,true,true,true,true,9216,0,256,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,7784,7784,7784,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":7784,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1560,""polygon_prepared_context"":7784,""polygon_sparse_subdivision"":8384}","{""polygon_arrangement"":0,""polygon_cut_index"":1560,""polygon_prepared_context"":7784,""polygon_sparse_subdivision"":8384}",verified,
D,completion-heavy,8,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,31072,5552,154,161,19,5050,482,500,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":5552,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":31072}","{""polygon_arrangement"":0,""polygon_cut_index"":5552,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":31072}",verified,
E,sparse-path-tree,8,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,31072,5552,166,160,20,5092,505,503,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":5552,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":31072}","{""polygon_arrangement"":0,""polygon_cut_index"":5552,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":31072}",verified,
F,4d-fallback-sparse,8,36,8,32,60,7,60,7,7,0,18,0,18,11,198,54,158,50,18,2353,11408,2360,51,54,8,453,158,145,496,60,136,136,7,true,true,true,true,true,2160,0,60,0,0,0,0,0,0,20,0,0,0,18,0,18,0,0,0,0,0,8176,8176,8176,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":8176,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":2360,""polygon_prepared_context"":8176,""polygon_sparse_subdivision"":11408}","{""polygon_arrangement"":0,""polygon_cut_index"":2360,""polygon_prepared_context"":8176,""polygon_sparse_subdivision"":11408}",verified,
G,aligned-reflex-heavy,8,132,0,64,512,60,512,60,0,30,4,0,20,20,400,136,340,68,35,4641,25024,4080,85,124,9,1308,463,458,2016,512,392,392,60,true,true,true,true,true,67584,0,512,0,0,0,0,0,0,6,0,420,0,4,0,4,0,0,0,0,0,26152,26152,26152,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":26152,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":4080,""polygon_prepared_context"":26152,""polygon_sparse_subdivision"":25024}","{""polygon_arrangement"":0,""polygon_cut_index"":4080,""polygon_prepared_context"":26152,""polygon_sparse_subdivision"":25024}",verified,
H,huge-coordinate,8,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,31072,5552,153,151,18,5035,463,478,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":5552,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":31072}","{""polygon_arrangement"":0,""polygon_cut_index"":5552,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":31072}",verified,
A,staircase-sparse,16,68,0,32,16,0,16,1,0,0,32,0,34,18,612,100,264,64,33,7045,19296,3480,99,92,13,1324,251,244,496,16,200,200,0,true,true,true,true,true,1088,0,16,0,0,0,0,0,0,34,0,0,0,32,0,32,0,0,0,0,0,16760,16760,16760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":3480,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":19296}","{""polygon_arrangement"":0,""polygon_cut_index"":3480,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":19296}",verified,
B,many-coordinates-few-faces,16,132,0,64,32,0,32,1,0,0,64,0,66,34,2244,196,520,128,65,25285,37984,7096,230,197,30,8395,556,552,2016,32,392,392,0,true,true,true,true,true,4224,0,32,0,0,0,0,0,0,66,0,0,0,64,0,64,0,0,0,0,0,34424,34424,34424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7096,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":37984}","{""polygon_arrangement"":0,""polygon_cut_index"":7096,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":37984}",verified,
C,hole-coordinate-cross-product,16,68,16,64,1024,30,1024,30,30,0,4,0,34,4,136,72,212,68,19,1725,15296,2968,38,70,10,550,251,223,2016,1024,264,264,30,true,true,true,true,true,69632,0,1024,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,14760,14760,14760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":2968,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":15296}","{""polygon_arrangement"":0,""polygon_cut_index"":2968,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":15296}",verified,
D,completion-heavy,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,61536,11888,342,331,49,34862,1086,1104,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":11888,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":61536}","{""polygon_arrangement"":0,""polygon_cut_index"":11888,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":61536}",verified,
