schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,40,1,comb-staircase:424242:40:2,2,False,True,3,60.0,success,success,0,valid,,,43223875,41898083,81,41,1681,1,162,79,39,0,39,0,0,0,,,41,,,,0,0,,,0,9333,1036916,11375,,3000,,,2708,875,125,214750,14833,32125,1325792,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:3,3,False,True,0,60.0,success,success,0,valid,,,42853083,41516166,81,41,1681,1,162,79,39,0,39,0,0,0,41,39,41,0,0,0,0,0,41,39,0,9166,1020792,10541,4792,1834,6083,3541,8375,625,208,225000,14125,32000,1336917,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:3,3,False,True,1,60.0,success,success,0,valid,,,42675042,41340417,81,41,1681,1,162,79,39,0,39,,0,0,41,39,41,0,0,0,0,0,,,0,9708,1027917,9958,4584,,9375,3834,8291,459,208,214500,13792,32834,1334625,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,40,1,comb-staircase:424242:40:3,3,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 1681 exceeds oracle limit 40,,41323583,,81,41,1681,1,162,79,,,,,,,,,,,,,,,,,0,8916,,,,,,,,,,,,,,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,40,1,comb-staircase:424242:40:3,3,False,True,3,60.0,success,success,0,valid,,,42950375,41628084,81,41,1681,1,162,79,39,0,39,0,0,0,,,41,,,,0,0,,,0,9417,1032459,10333,,2667,,,2792,875,125,213542,15500,34958,1322291,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:4,4,False,True,0,60.0,success,success,0,valid,,,42626333,41312791,81,41,1681,1,162,79,39,0,39,0,0,0,41,39,41,0,0,0,0,0,41,39,0,9709,1011583,9500,4250,1834,5041,3084,8459,625,208,213625,14958,31834,1313542,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:4,4,False,True,1,60.0,success,success,0,valid,,,42888541,41551958,81,41,1681,1,162,79,39,0,39,,0,0,41,39,41,0,0,0,0,0,,,0,9625,1031000,10000,4500,,9250,3458,8250,417,125,214458,14042,31666,1336583,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,40,1,comb-staircase:424242:40:4,4,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 1681 exceeds oracle limit 40,,41849834,,81,41,1681,1,162,79,,,,,,,,,,,,,,,,,0,9333,,,,,,,,,,,,,,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,40,1,comb-staircase:424242:40:4,4,False,True,3,60.0,success,success,0,valid,,,42617125,41314083,81,41,1681,1,162,79,39,0,39,0,0,0,,,41,,,,0,0,,,0,9041,1019750,8958,,2500,,,2583,750,208,213125,14125,32624,1303042,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:0,0,True,False,0,60.0,success,success,0,valid,,,47108167,43944292,121,61,3721,1,242,119,59,0,59,0,0,0,61,59,61,0,0,0,0,0,61,59,0,9416,2463208,11250,3958,1958,5292,3709,10917,291,83,466583,65292,115583,3163875,,,,,,,,,,,,,,,
