schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,6,1,dense-conflict:424242:6:1,1,False,True,0,8.0,success,success,0,valid,,,42752291,42653291,11,11,93,1,52,24,12,12,24,60,0,0,,,13,,,,12,12,,,0,9333,43416,8375,,5125,,,3250,375,167,20417,4542,5791,99000,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,6,1,dense-conflict:424242:6:1,1,False,True,1,8.0,unsupported,unsupported,0,unsupported,foreground cell count 93 exceeds oracle limit 40,,40582125,,11,11,93,1,52,24,,,,,,,,,,,,,,,,,0,9542,,,,,,,,,,,,,,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:1,1,False,True,2,8.0,success,success,0,valid,,,41198333,41034167,11,11,93,1,52,24,12,12,24,60,60,120,86,144,13,0,0,0,12,12,86,144,0,9416,41375,9375,3375,4584,38959,5833,17250,750,125,19875,4375,6000,164166,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:1,1,False,True,3,8.0,success,success,0,valid,,,42625458,42448125,11,11,93,1,52,24,12,12,24,,24,66,50,90,13,0,0,0,12,12,,,0,9792,43166,7542,3667,,62209,5916,13834,750,250,20334,4166,6500,177333,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,6,1,dense-conflict:424242:6:2,2,False,True,0,8.0,success,success,0,valid,,,43618458,43503125,11,11,93,1,52,24,12,12,24,60,0,0,,,13,,,,12,12,,,0,11833,50750,9958,,5750,,,3625,542,125,23584,5500,7874,115333,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,6,1,dense-conflict:424242:6:2,2,False,True,1,8.0,unsupported,unsupported,0,unsupported,foreground cell count 93 exceeds oracle limit 40,,42530416,,11,11,93,1,52,24,,,,,,,,,,,,,,,,,0,10916,,,,,,,,,,,,,,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:2,2,False,True,2,8.0,success,success,0,valid,,,42586708,42422083,11,11,93,1,52,24,12,12,24,60,60,120,86,144,13,0,0,0,12,12,86,144,0,10792,42291,8042,3583,4500,39833,6167,16583,667,84,19875,4083,6250,164625,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:2,2,False,True,3,8.0,success,success,0,valid,,,40247833,40060458,11,11,93,1,52,24,12,12,24,,24,66,50,90,13,0,0,0,12,12,,,0,9708,46500,9750,3792,,64375,4792,14041,542,84,21000,5208,7875,187375,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,dense-conflict:424242:8:0,0,True,False,0,8.0,success,success,0,valid,,,42113667,41970001,13,13,137,1,68,32,16,16,32,96,0,0,,,17,,,,16,16,,,0,10709,61417,8791,,7792,,,3041,542,208,38709,5458,8250,143666,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,8,1,dense-conflict:424242:8:0,0,True,False,1,8.0,unsupported,unsupported,0,unsupported,foreground cell count 137 exceeds oracle limit 40,,41210458,,13,13,137,1,68,32,,,,,,,,,,,,,,,,,0,13875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,dense-conflict:424242:8:0,0,True,False,2,8.0,success,success,0,valid,,,41997333,41791125,13,13,137,1,68,32,16,16,32,96,96,192,130,224,17,0,0,0,16,16,130,224,0,11166,55792,8458,3667,6417,50250,7417,20208,1083,125,26500,4917,7584,206208,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,dense-conflict:424242:8:0,0,True,False,3,8.0,success,success,0,valid,,,42294959,42058042,13,13,137,1,68,32,16,16,32,,24,84,58,116,17,0,0,0,16,16,,,0,9750,61417,9125,3791,,84209,5458,17625,625,291,29916,5250,7042,236917,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,dense-conflict:424242:8:0,0,False,True,0,8.0,success,success,0,valid,,,40754917,40632917,13,13,137,1,68,32,16,16,32,96,0,0,,,17,,,,16,16,,,0,9084,56083,8042,,6667,,,3250,375,166,26042,4875,7667,122000,,,,,68,32,,,32,96,24,84,58,116,
1,paper-scaling,dense-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,8,1,dense-conflict:424242:8:0,0,False,True,1,8.0,unsupported,unsupported,0,unsupported,foreground cell count 137 exceeds oracle limit 40,,41486083,,13,13,137,1,68,32,,,,,,,,,,,,,,,,,0,9958,,,,,,,,,,,,,,,,,,68,32,,,32,96,24,84,58,116,
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,dense-conflict:424242:8:0,0,False,True,2,8.0,success,success,0,valid,,,40461833,40244000,13,13,137,1,68,32,16,16,32,96,96,192,130,224,17,0,0,0,16,16,130,224,0,9292,62292,9333,3625,6875,52250,9083,20417,750,166,26000,5042,6666,217833,,,,,68,32,,,32,96,24,84,58,116,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,dense-conflict:424242:8:0,0,False,True,3,8.0,success,success,0,valid,,,41131458,40896958,13,13,137,1,68,32,16,16,32,,24,84,58,116,17,0,0,0,16,16,,,0,11083,60250,8542,4000,,85166,5500,17125,667,250,28333,6417,7000,234500,,,,,68,32,,,32,96,24,84,58,116,
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,dense-conflict:424242:8:1,1,False,True,0,8.0,success,success,0,valid,,,41635500,41505875,13,13,137,1,68,32,16,16,32,96,0,0,,,17,,,,16,16,,,0,10417,59209,9959,,6584,,,3083,291,167,27541,5334,8166,129625,,,,,68,32,,,32,96,24,84,58,116,
