algorithm,alpha_ols,alpha_ols_ci95,alpha_theil_sen,bootstrap_ci95,bootstrap_resamples,bootstrap_seed,claim_status,comparison,distribution_ns,excluded_sizes,failure_count,family,fit_independent_range,fit_target_size_range,geometric_mean_ratio,independent_variable,independent_variable_definition,invalid_count,median_ratio,median_ratio_by_target_size,paired_count,r_squared,ratio_distribution,record_type,residuals_log_time,sample_count,size_level_count,size_levels,stable_crossover_target_size,timeout_count,unsupported_count
explicit-c0-flow,,,,,,,,,"{""count"":12,""mad"":883979,""max"":46105125,""median"":43647604.5,""min"":41912542,""q1"":42962958.5,""q3"":44658479.5}",,0,representation-crossover,,,,,,0,,,,,,distribution,,12,,"[{""B"":68.0,""K"":64.0,""M"":226.0,""N"":1676.0,""process_wall_time_ns"":{""count"":3,""mad"":736417,""max"":43488875,""median"":42648959,""min"":41912542,""q1"":42280750.5,""q3"":43068917},""q"":16.0,""target_size"":4},{""B"":100.0,""K"":144.0,""M"":482.0,""N"":2956.0,""process_wall_time_ns"":{""count"":3,""mad"":830667,""max"":45383167,""median"":43067625,""min"":42236958,""q1"":42652291.5,""q3"":44225396},""q"":24.0,""target_size"":6},{""B"":132.0,""K"":256.0,""M"":834.0,""N"":4596.0,""process_wall_time_ns"":{""count"":3,""mad"":211041,""max"":44416917,""median"":43753125,""min"":43542084,""q1"":43647604.5,""q3"":44085021},""q"":32.0,""target_size"":8},{""B"":164.0,""K"":400.0,""M"":1282.0,""N"":6596.0,""process_wall_time_ns"":{""count"":3,""mad"":194875,""max"":46105125,""median"":45910250,""min"":44276125,""q1"":45093187.5,""q3"":46007687.5},""q"":40.0,""target_size"":10}]",,0,0
exact-cover-oracle,,,,,,,,,,,0,representation-crossover,,,,,,0,,,,,,distribution,,0,,[],,0,12
,,,,"[0.98361024246111,1.0189211441239592]",10000,20260804,,compact-mrd / explicit-hopcroft-karp process wall time,,,,random-connected,,,1.0006251824850225,,,,0.9956883830606269,"{""4"":0.9853285684677272,""6"":0.9888927600767636,""8"":1.000639561051255,""10"":1.0217751775490411}",12,,"{""count"":12,""mad"":0.016150303272818245,""max"":1.0511944951546464,""median"":0.9956883830606269,""min"":0.9627161448399238,""q1"":0.9844694054644186,""q3"":1.017494127411418}",paired,,,,,,,
,,,,"[0.9912696945550197,1.0201441112719194]",10000,20260804,,compact-mrd / explicit-hopcroft-karp process wall time,,,,dense-conflict,,,0.9972514067472038,,,,0.9955719980986906,"{""4"":0.9925098390195587,""6"":0.9970333051859139,""8"":0.9961391120558177,""10"":0.9912937992544476}",12,,"{""count"":12,""mad"":0.008996782631397693,""max"":1.0422501143174936,""median"":0.9955719980986906,""min"":0.9227248015049042,""q1"":0.9912817469047337,""q3"":1.0146916331951534}",paired,,,,,,,
,,,,"[0.990075555737219,1.0166704766345571]",10000,20260804,,compact-mrd / explicit-hopcroft-karp process wall time,,,,representation-crossover,,,1.0060149038252622,,,,1.007453297578679,"{""4"":1.0195447922700855,""6"":1.0137961609990285,""8"":1.0065424481048084,""10"":0.9816865530962416}",12,,"{""count"":12,""mad"":0.014338252401369878,""max"":1.0436896504024342,""median"":1.007453297578679,""min"":0.967814104707459,""q1"":0.9904719216022824,""q3"":1.0152333188167928}",paired,,,,,,,
compact-mrd,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,N,foreground_cells_n,,,,,,,fit,[],,3,,,,
compact-mrd,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,B,boundary_size_b,,,,,,,fit,[],,3,,,,
compact-mrd,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,q,q,,,,,,,fit,[],,3,,,,
compact-mrd,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,K,explicit_conflict_edge_count_k,,,,,,,fit,[],,3,,,,
compact-mrd,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,M,M = compressed network node count + compressed network arc count,,,,,,,fit,[],,3,,,,
